location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Temperature,Sunshine Duration,Precipitation Total,Snowfall Amount,Relative Humidity,Cloud Cover Total,Wind Speed,Wind Direction
unit,°C,°C,min,mm,cm,%,%,km/h,°
level,2 m elevation corrected,700 mb,sfc,sfc,sfc,2 m,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [700 mb],Basel Sunshine Duration,Basel Precipitation Total,Basel Snowfall Amount,Basel Relative Humidity [2 m],Basel Cloud Cover Total,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20220107T1400,3.6805286,-11.91,0.0,0.0,0.0,67.0,100.0,19.211996,257.00537
20220107T1500,3.7705286,-12.19,0.0,0.0,0.0,75.0,100.0,19.09358,225.7639
20220107T1600,3.6005285,-12.49,0.0,0.4,0.0,81.0,100.0,18.947083,255.69974
20220107T1700,3.1405284,-13.51,0.0,0.8,0.56,85.0,100.0,19.930477,249.92847
20220107T1800,2.6305285,-14.39,0.0,0.1,0.07,85.0,100.0,25.842384,251.31265
20220107T1900,2.8005285,-14.92,0.0,0.0,0.0,80.0,100.0,28.019936,249.70242
20220107T2000,2.8205285,-14.65,0.0,0.0,0.0,79.0,41.0,26.944744,247.20349
20220107T2100,2.6405284,-15.48,0.0,0.0,0.0,82.0,35.0,29.620802,249.36246
20220107T2200,2.5505285,-15.42,0.0,0.0,0.0,84.0,8.0,29.275326,253.57071
20220107T2300,2.5105286,-14.6,0.0,0.0,0.0,85.0,4.0,24.379204,253.70596
20220108T0000,2.6305285,-14.09,0.0,0.0,0.0,84.0,100.0,19.33639,245.82089
20220108T0100,2.1005285,-13.91,0.0,0.0,0.0,82.0,19.0,16.08761,220.46222
20220108T0200,2.9405286,-13.0,0.0,0.0,0.0,76.0,100.0,17.884428,229.8991
20220108T0300,3.3005285,-12.74,0.0,0.0,0.0,74.0,100.0,13.854155,204.56717
20220108T0400,2.2805285,-12.79,0.0,0.2,0.0,78.0,100.0,42.730953,230.81248
20220108T0500,3.2105286,-14.53,0.0,0.8,0.0,82.0,100.0,51.82625,249.67686
20220108T0600,2.6305285,-15.94,0.0,0.0,0.0,83.0,1.0,45.685966,257.71603
20220108T0700,2.4205287,-15.19,0.0,0.0,0.0,86.0,15.0,42.63227,265.156
20220108T0800,1.1505287,-15.02,0.0,0.0,0.0,88.0,0.0,42.084602,280.3487
20220108T0900,0.030528657,-15.62,0.0,0.0,0.0,90.0,100.0,44.055527,281.30994
20220108T1000,0.15052865,-16.3,0.0,0.0,0.0,87.0,100.0,34.786133,276.53662
20220108T1100,1.1005287,-16.22,0.0,0.0,0.0,83.0,100.0,32.431984,267.4552
20220108T1200,2.2205286,-15.4,0.0,0.0,0.0,73.0,100.0,28.202042,255.96376
20220108T1300,3.4705286,-14.09,0.0,0.0,0.0,66.0,100.0,21.659918,254.57785
20220108T1400,6.4105287,-12.2,0.0,0.0,0.0,54.0,100.0,21.915693,255.73549
20220108T1500,6.9605284,-11.75,10.30303,0.0,0.0,47.0,82.0,23.906818,251.56506
20220108T1600,6.9005284,-11.29,0.0,0.0,0.0,47.0,100.0,22.55106,253.30075
20220108T1700,6.7405286,-11.96,0.0,0.0,0.0,55.0,100.0,22.180206,234.24612
20220108T1800,5.6605287,-11.28,0.0,0.0,0.0,67.0,100.0,24.967497,222.66269
20220108T1900,5.4505286,-11.32,0.0,0.0,0.0,68.0,100.0,28.856194,229.55377
